FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,d0,d1,Degradation,Evapotranspiration,g0,Growth,infil c,Infiltration,k et,k perc,r,Percolation,NDVI sim raw,NDVI sim,NDVI obs,Precipitation norm,precipitation,Soil Water,Vegetation Biomass
119,0,1,1,0.08,0.35,0.022060251404338354,0.0011681727558202615,0.01,0.017041511589448763,0.6,0.009552562233414016,0.05,0.15,0.5,0.049836951264010276,0.10084677250569912,0.11357809136918648,0.089,0.023842530638700676,32.619,0.3322463417600685,0.0703196760350702
119,0,1,1,0.08,0.35,0.02143321544692802,0.000949455303964234,0.01,0.014899570450959573,0.6,0.0,0.05,0.15,0.5,0.04361906699604779,0.09653009362201806,0.10084677250569912,0.092,0.0,1.574,0.29079377997365197,0.0653009362201806
119,0,1,1,0.08,0.35,0.020205438227849006,0.0007234995712231739,0.01,0.012425292622561711,0.6,0.014746753394246198,0.05,0.15,0.5,0.03693378865104599,0.10109376194533365,0.09653009362201806,0.1,0.03260645514320274,43.461,0.24622525767363995,0.05876729122421215
119,0,1,1,0.08,0.35,0.017939309513734927,0.000569309014628966,0.01,0.010556902434384844,0.6,0.17707502917974968,0.05,0.15,0.5,0.03349720842684255,0.15589555102861563,0.10109376194533365,0.137,0.37998022791701974,473.203,0.223314722845617,0.05098714561892485
119,0,1,1,0.08,0.35,0.01315933746926643,0.0007986714432501031,0.01,0.013045578985479773,0.6,0.05345246940708591,0.05,0.15,0.5,0.05494848518758427,0.11685457908208537,0.15589555102861563,0.162,0.14058815767579932,177.047,0.36632323458389515,0.04360473853957477
119,0,1,1,0.08,0.35,0.01315993602144671,0.000791597914648883,0.01,0.012976412600213432,0.6,0.28874732620283516,0.05,0.15,0.5,0.054604282104021996,0.2154225937856275,0.11685457908208537,0.207,0.7567093486253043,939.261,0.36402854736014667,0.043490980055788116
119,0,1,1,0.08,0.35,0.009567353495188767,0.0012935504082385448,0.01,0.016720826280485334,0.6,0.16231263693680545,0.05,0.15,0.5,0.08960699903164664,0.2018350155849712,0.2154225937856275,0.234,0.6719016870094731,834.344,0.5973799935443109,0.04330745663455484
119,0,1,1,0.08,0.35,0.009886445151244115,0.0016873934998988555,0.01,0.019430642741992188,0.6,0.058796401907485085,0.05,0.15,0.5,0.10031881215618468,0.14238505922622585,0.2018350155849712,0.182,0.2958685392765045,369.147,0.6687920810412312,0.050460929419851405
119,0,1,1,0.08,0.35,0.012663854212974203,0.0018769072002262244,0.01,0.021232258812128122,0.6,0.014496676319519026,0.05,0.15,0.5,0.09383734159389491,0.10632529199814762,0.14238505922622585,0.139,0.06452987060679799,82.954,0.6255822772926327,0.06000512701059948
119,0,1,1,0.08,0.35,0.016421464989618304,0.001866450514653665,0.01,0.021858514612525227,0.6,0.026394146849106837,0.05,0.15,0.5,0.08165470572270458,0.11230488155526017,0.10632529199814762,0.115,0.0965470524642802,122.563,0.5443647048180306,0.0685735316097534
119,0,1,1,0.08,0.35,0.019203289167016975,0.0018030372518609936,0.01,0.021847130860997543,0.6,0.0025863655401484357,0.05,0.15,0.5,0.07308565431446687,0.0987461208769546,0.11230488155526017,0.096,0.008406642210553534,13.523,0.4872376954297791,0.07401058123266031
119,0,1,1,0.08,0.35,0.021829080905735654,0.0015903315646742747,0.01,0.02058463415785767,0.6,0.0031093929920418344,0.05,0.15,0.5,0.06224030541053995,0.09908267283640633,0.0987461208769546,0.1,0.008857690898389002,14.081,0.4149353694035997,0.07665442292664087
119,0,1,1,0.08,0.35,0.023077342190820523,0.0013355639380067876,0.01,0.018602633360749014,0.6,0.027127018869516625,0.05,0.15,0.5,0.053132118813064094,0.10874265436400324,0.09908267283640633,0.093,0.07001035466329347,89.734,0.3542141254204273,0.07540997617876288
119,0,1,1,0.08,0.35,0.02238676522572904,0.0011593428191726074,0.01,0.016979357219565113,0.6,0.0917322129029758,0.05,0.15,0.5,0.049031019230830954,0.1334342770144783,0.10874265436400324,0.095,0.22712968924755725,284.109,0.32687346153887303,0.07093526734869138
119,0,1,1,0.08,0.35,0.01972746614777065,0.0012070733385023073,0.01,0.017231291268128383,0.6,0.030790134478626677,0.05,0.15,0.5,0.05526229685877679,0.10955294678160982,0.1334342770144783,0.108,0.0812510052959817,103.64,0.3684153123918453,0.06552785934252744
119,0,1,1,0.08,0.35,0.019542493035421455,0.0010801616119455956,0.01,0.016076365071185855,0.6,0.10345237673745719,0.05,0.15,0.5,0.05141041150097892,0.13827611034105436,0.10955294678160982,0.146,0.2623308868422866,327.657,0.34273607667319284,0.06303168446288518
119,0,1,1,0.08,0.35,0.017405397628123858,0.0011725416666136376,0.01,0.01674387377447018,0.6,0.14514323349726496,0.05,0.15,0.5,0.05905468204465882,0.15979413927062386,0.13827611034105436,0.195,0.39898489762974326,496.714,0.3936978802977255,0.05956555649864958
119,0,1,1,0.08,0.35,0.015461433165304305,0.0014096144102919905,0.01,0.018446461320721516,0.6,0.1393195681699514,0.05,0.15,0.5,0.0717920835125577,0.1671463959707222,0.15979413927062386,0.219,0.4453499544138913,554.073,0.478613890083718,0.0589040326449959
119,0,1,1,0.08,0.35,0.014812768181917077,0.0016856468517515084,0.01,0.020350252498431053,0.6,0.14611823057827591,0.05,0.15,0.5,0.08170976404962295,0.1817755077631589,0.1671463959707222,0.225,0.5349162605194849,664.877,0.5447317603308197,0.06188906080041311
119,0,1,1,0.08,0.35,0.014657917124397533,0.00204792818226873,0.01,0.022730485617576582,0.6,0.08614284671292126,0.05,0.15,0.5,0.09111818700115816,0.1552618082711842,0.1817755077631589,0.171,0.3657447109968219,455.592,0.6074545800077211,0.06742654511692708
119,0,1,1,0.08,0.35,0.016598407720660995,0.0022666015902406632,0.01,0.024498634876551118,0.6,0.08401214303144548,0.05,0.15,0.5,0.09006469673058233,0.1536184642496472,0.1552618082711842,0.134,0.3504284555539788,436.644,0.6004313115372155,0.07549911361010614
